Date,Close/Last,Volume,Open,High,Low
2/13/25,"$1,043.69 ",3476068,"$1,026.63 ","$1,045.99 ","$1,025.10 "
2/12/25,"$1,027.31 ",3388966,"$1,005.49 ","$1,027.74 ",$998.35 
2/11/25,"$1,008.08 ",3331797,"$1,020.79 ","$1,022.69 ","$1,002.95 "
2/10/25,"$1,027.60 ",3296566,"$1,023.05 ","$1,032.85 ","$1,015.88 "
2/7/25,"$1,013.93 ",3212853,"$1,017.00 ","$1,027.76 ","$1,005.67 "
2/6/25,"$1,015.68 ",3134293,"$1,007.87 ","$1,016.35 ","$1,002.61 "
2/5/25,"$1,011.11 ",3997733,$987.73 ,"$1,011.83 ",$986.68 
2/4/25,$994.87 ,6000137,$980.47 ,"$1,008.00 ",$978.51 
2/3/25,$978.94 ,3724197,$973.00 ,$987.69 ,$964.38 
1/31/25,$976.76 ,3618718,$974.00 ,$990.29 ,$974.00 
1/30/25,$973.24 ,3867825,$986.75 ,$994.59 ,$970.01 
1/29/25,$978.15 ,2930728,$980.00 ,$987.64 ,$968.23 
1/28/25,$971.83 ,3433972,$966.71 ,$977.93 ,$957.30 
1/27/25,$971.89 ,4634204,$971.10 ,$982.27 ,$960.26 
1/24/25,$977.59 ,4550397,$984.41 ,$986.28 ,$967.68 
1/23/25,$984.86 ,7752137,$957.81 ,$985.00 ,$953.90 
1/22/25,$953.99 ,14273210,$998.03 ,$999.00 ,$950.76 
1/21/25,$869.68 ,9851351,$863.53 ,$916.40 ,$854.75 
1/17/25,$858.10 ,3617565,$859.79 ,$865.00 ,$852.13 
1/16/25,$842.37 ,4028537,$860.96 ,$868.98 ,$842.02 
1/15/25,$848.26 ,3181383,$836.44 ,$850.84 ,$830.41 
1/14/25,$828.40 ,3037650,$843.20 ,$844.89 ,$823.52 
1/13/25,$840.29 ,3024517,$831.53 ,$847.07 ,$829.14 
1/10/25,$837.69 ,4803312,$866.40 ,$866.41 ,$834.40 
1/8/25,$875.00 ,2347949,$880.00 ,$886.22 ,$873.00 
1/7/25,$879.19 ,2649823,$879.38 ,$888.00 ,$869.11 
1/6/25,$881.79 ,3457656,$888.76 ,$892.83 ,$871.69 
1/3/25,$881.05 ,2970019,$893.13 ,$898.83 ,$879.89 
1/2/25,$886.73 ,2315685,$895.50 ,$898.58 ,$877.00 
12/31/24,$891.32 ,1875897,$901.80 ,$902.68 ,$889.47 
12/30/24,$900.43 ,2202970,$894.51 ,$908.23 ,$889.71 
12/27/24,$907.55 ,3226158,$916.01 ,$918.13 ,$894.50 
12/26/24,$924.14 ,2342418,$928.40 ,$930.49 ,$915.30 
12/24/24,$932.12 ,2320293,$915.00 ,$935.85 ,$911.70 
12/23/24,$911.45 ,2339375,$913.42 ,$915.00 ,$899.10 
12/20/24,$909.05 ,4530519,$893.21 ,$919.92 ,$890.49 
12/19/24,$902.04 ,2815512,$908.18 ,$912.62 ,$899.00 
12/18/24,$889.55 ,2938194,$919.13 ,$922.44 ,$886.56 
12/17/24,$919.13 ,2459456,$921.54 ,$928.45 ,$916.42 
12/16/24,$921.08 ,2674892,$923.94 ,$928.94 ,$919.50 
12/13/24,$918.87 ,2485829,$916.81 ,$925.55 ,$909.61 
12/12/24,$925.55 ,2486197,$933.35 ,$934.09 ,$922.60 
12/11/24,$936.56 ,3501691,$924.71 ,$941.75 ,$923.08 
12/10/24,$913.35 ,2388575,$913.76 ,$922.88 ,$909.58 
12/9/24,$913.69 ,3350082,$928.00 ,$930.30 ,$902.59 
12/6/24,$934.74 ,2955383,$915.23 ,$935.27 ,$912.71 
12/5/24,$917.87 ,2835307,$917.85 ,$927.00 ,$911.11 
12/4/24,$911.06 ,2689629,$898.05 ,$915.97 ,$898.05 
12/3/24,$902.17 ,2401634,$894.36 ,$902.69 ,$888.03 
12/2/24,$897.74 ,2388966,$887.51 ,$902.34 ,$884.12 
11/29/24,$886.81 ,2027237,$882.17 ,$892.41 ,$876.68 
11/27/24,$877.34 ,2578222,$872.06 ,$880.95 ,$858.91 
11/26/24,$872.60 ,3138259,$867.49 ,$886.36 ,$867.25 
11/25/24,$865.59 ,6014203,$902.05 ,$902.05 ,$864.22 
11/22/24,$897.79 ,3214020,$896.00 ,$906.00 ,$893.00 
11/21/24,$897.48 ,4511263,$883.93 ,$908.00 ,$877.24 
11/20/24,$883.85 ,4093843,$879.98 ,$890.60 ,$868.40 
11/19/24,$871.32 ,3814227,$839.75 ,$874.49 ,$839.16 
11/18/24,$847.05 ,4084081,$815.50 ,$848.45 ,$809.33 
11/15/24,$823.96 ,3673720,$832.04 ,$832.04 ,$816.49 
11/14/24,$837.26 ,3038231,$833.67 ,$841.00 ,$830.02 
11/13/24,$830.47 ,2767772,$822.62 ,$836.99 ,$820.54 
11/12/24,$819.50 ,2814064,$807.50 ,$820.37 ,$803.75 
11/11/24,$805.44 ,2399150,$795.90 ,$806.82 ,$795.57 
11/8/24,$795.04 ,1910626,$797.36 ,$799.06 ,$788.65 
11/7/24,$796.54 ,3295074,$781.37 ,$798.22 ,$779.94 
11/6/24,$780.21 ,3690817,$771.50 ,$781.49 ,$757.38 
11/5/24,$763.91 ,2200645,$757.35 ,$767.53 ,$756.27 
11/4/24,$755.51 ,1902194,$753.14 ,$762.48 ,$749.69 
11/1/24,$756.10 ,2996829,$753.48 ,$763.80 ,$747.77 
10/31/24,$756.03 ,3057709,$753.93 ,$760.79 ,$752.23 
10/30/24,$753.74 ,1722002,$758.08 ,$759.79 ,$752.28 
10/29/24,$759.44 ,3660433,$751.13 ,$763.88 ,$748.01 
10/28/24,$749.12 ,2862405,$758.68 ,$758.68 ,$747.88 
10/25/24,$754.68 ,2819473,$756.17 ,$768.50 ,$753.53 
10/24/24,$754.55 ,2642962,$751.97 ,$755.82 ,$746.25 
10/23/24,$749.29 ,3749007,$762.83 ,$763.79 ,$744.26 
10/22/24,$764.24 ,2987252,$765.27 ,$769.70 ,$761.12 
10/21/24,$772.07 ,6057093,$765.76 ,$773.00 ,$756.60 
10/18/24,$763.89 ,15974120,$737.64 ,$766.28 ,$736.23 
10/17/24,$687.65 ,8926672,$704.35 ,$704.41 ,$677.88 
10/16/24,$702.00 ,2494276,$703.43 ,$705.59 ,$697.82 
10/15/24,$705.98 ,2932752,$712.51 ,$713.40 ,$699.78 
10/14/24,$713.00 ,2797071,$725.00 ,$726.62 ,$711.31 
10/11/24,$722.79 ,2299525,$734.90 ,$736.00 ,$721.22 
10/10/24,$730.29 ,2767862,$723.29 ,$733.85 ,$722.50 
10/9/24,$727.43 ,1981070,$719.25 ,$728.59 ,$718.87 
10/8/24,$721.76 ,3187402,$703.88 ,$725.06 ,$703.55 
10/7/24,$701.92 ,3360520,$714.76 ,$715.88 ,$696.43 
10/4/24,$719.70 ,2230139,$713.32 ,$721.01 ,$708.82 
10/3/24,$706.80 ,2256449,$704.26 ,$708.81 ,$700.00 
10/2/24,$711.09 ,1758167,$706.13 ,$716.21 ,$704.69 
10/1/24,$706.13 ,2813482,$713.64 ,$717.76 ,$698.59 
9/30/24,$709.27 ,1711508,$707.00 ,$711.21 ,$702.82 
9/27/24,$707.35 ,2395613,$708.36 ,$710.71 ,$701.25 
9/26/24,$711.43 ,2832962,$724.73 ,$725.26 ,$701.72 
9/25/24,$721.56 ,2259775,$721.00 ,$725.12 ,$716.21 
9/24/24,$722.26 ,3565731,$706.63 ,$722.44 ,$704.45 
9/23/24,$705.37 ,3224344,$702.39 ,$712.25 ,$699.16 
9/20/24,$701.03 ,3998062,$705.55 ,$706.67 ,$696.31 
9/19/24,$704.32 ,4228480,$705.00 ,$715.66 ,$695.37 
9/18/24,$690.47 ,2984411,$707.55 ,$707.55 ,$688.00 
9/17/24,$706.91 ,2298630,$700.82 ,$707.63 ,$698.37 
9/16/24,$696.50 ,1843745,$700.00 ,$703.02 ,$688.63 
9/13/24,$697.06 ,2276482,$680.01 ,$699.64 ,$680.00 
9/12/24,$686.80 ,2588437,$684.92 ,$694.88 ,$682.20 
9/11/24,$681.47 ,2391924,$677.46 ,$682.97 ,$660.80 
9/10/24,$673.62 ,2079182,$676.87 ,$680.59 ,$665.81 
9/9/24,$675.42 ,2683111,$674.00 ,$683.50 ,$672.14 
9/6/24,$665.77 ,2991265,$681.86 ,$683.15 ,$662.34 
9/5/24,$683.62 ,1810072,$673.14 ,$687.31 ,$671.86 
9/4/24,$679.68 ,1785337,$673.31 ,$684.65 ,$673.06 
9/3/24,$675.32 ,3160964,$700.10 ,$703.86 ,$671.01 
8/30/24,$701.35 ,3266723,$700.36 ,$701.86 ,$688.16 
8/29/24,$692.48 ,2186974,$690.00 ,$699.80 ,$686.07 
8/28/24,$683.84 ,2430583,$695.83 ,$696.67 ,$677.10 
8/27/24,$695.72 ,3164878,$688.53 ,$707.89 ,$686.92 
8/26/24,$688.44 ,1354154,$687.26 ,$690.59 ,$681.64 
8/23/24,$686.73 ,2354450,$694.13 ,$696.07 ,$678.63 
8/22/24,$688.96 ,2729389,$691.00 ,$701.50 ,$686.24 
8/21/24,$697.12 ,2235343,$697.00 ,$701.00 ,$691.38 
8/20/24,$698.54 ,4813118,$688.86 ,$711.33 ,$688.25 
8/19/24,$688.53 ,3016227,$674.07 ,$688.84 ,$672.91 
8/16/24,$674.07 ,3511014,$669.43 ,$680.23 ,$665.36 
8/15/24,$663.22 ,3210173,$668.49 ,$673.19 ,$659.80 
8/14/24,$661.68 ,4014344,$648.70 ,$663.57 ,$648.70 
8/13/24,$648.02 ,2639571,$638.56 ,$650.97 ,$635.50 
8/12/24,$633.14 ,2331712,$631.00 ,$639.00 ,$627.07 
8/9/24,$633.94 ,1980836,$622.99 ,$636.62 ,$622.99 
8/8/24,$630.35 ,3283542,$621.99 ,$632.29 ,$616.02 
8/7/24,$611.48 ,3187791,$616.07 ,$632.00 ,$610.64 
8/6/24,$609.57 ,4319057,$600.62 ,$622.45 ,$600.62 
8/5/24,$598.55 ,4044235,$587.04 ,$604.56 ,$587.04 
8/2/24,$613.64 ,3523003,$620.98 ,$625.27 ,$608.35 
8/1/24,$624.85 ,3720573,$629.25 ,$646.71 ,$617.61 
7/31/24,$628.35 ,3134877,$626.57 ,$633.60 ,$622.58 
7/30/24,$622.58 ,3496609,$630.17 ,$634.69 ,$617.00 
7/29/24,$626.96 ,2400537,$634.61 ,$634.61 ,$623.93 
7/26/24,$631.37 ,3120659,$645.00 ,$646.99 ,$629.77 
7/25/24,$634.09 ,4554539,$641.00 ,$649.98 ,$621.70 
7/24/24,$635.99 ,4888163,$635.74 ,$652.42 ,$632.67 
7/23/24,$642.76 ,2463579,$647.50 ,$649.91 ,$641.00 
7/22/24,$647.50 ,5219077,$639.50 ,$656.29 ,$632.60 
7/19/24,$633.34 ,9815631,$660.64 ,$678.97 ,$629.12 
7/18/24,$643.04 ,7575763,$656.60 ,$657.04 ,$639.17 
7/17/24,$647.46 ,4017277,$650.00 ,$650.45 ,$639.47 
7/16/24,$656.32 ,2685706,$661.80 ,$663.68 ,$649.13 
7/15/24,$656.45 ,3208763,$647.50 ,$667.54 ,$646.63 
7/12/24,$647.60 ,3355197,$652.75 ,$655.92 ,$643.71 
7/11/24,$652.75 ,5111928,$672.49 ,$672.49 ,$647.44 
7/10/24,$677.65 ,2651928,$685.02 ,$687.22 ,$673.16 
7/9/24,$685.74 ,2599474,$690.00 ,$695.27 ,$684.72 
7/8/24,$685.74 ,1930786,$687.00 ,$688.86 ,$681.49 
7/5/24,$690.65 ,2659065,$682.51 ,$697.49 ,$677.23 
7/3/24,$682.51 ,1403545,$677.48 ,$683.75 ,$675.50 
7/2/24,$679.58 ,2411426,$673.54 ,$681.74 ,$670.07 
7/1/24,$673.61 ,2212826,$674.89 ,$675.02 ,$663.78 
6/28/24,$674.88 ,3412391,$679.00 ,$687.00 ,$673.08 
6/27/24,$684.34 ,2404849,$679.35 ,$688.57 ,$678.14 
6/26/24,$677.69 ,3545815,$672.41 ,$682.96 ,$670.02 
6/25/24,$672.41 ,2278768,$673.44 ,$673.67 ,$662.30 
6/24/24,$669.02 ,3916335,$685.00 ,$685.50 ,$664.50 
6/21/24,$686.12 ,4557086,$683.26 ,$686.90 ,$678.10 
6/20/24,$679.03 ,2585089,$681.80 ,$689.88 ,$673.72 
6/18/24,$685.67 ,2943775,$675.63 ,$687.06 ,$674.64 
6/17/24,$675.83 ,3631184,$669.11 ,$682.71 ,$665.11 
6/14/24,$669.38 ,4447116,$655.05 ,$675.58 ,$652.64 
